date,Daily_Average_EffEX,Nonzero_DNI_Hours,Daily_Mean_DNI,Daily_Max_DNI,month,Daily_Average_EffEX_7day_Rolling
2023-04-21,41.966571981256656,11,697.7945454545454,871.41,2023-04,38.33846957724848
2023-04-22,41.634613730690695,11,680.89,903.94,2023-04,38.36504483914479
2023-04-23,40.1017062664032,8,600.4575,838.66,2023-04,38.32603835388695
2023-04-24,43.31528434753418,10,717.613,888.65,2023-04,39.47234211205404
2023-04-25,38.64889415105184,12,546.3149999999999,829.64,2023-04,40.30075724475828
2023-04-26,38.86672002618963,11,477.10090909090906,812.57,2023-04,40.378957378606266
2023-04-27,41.388520154086024,11,636.1027272727273,831.99,2023-04,40.84604437960174
2023-04-28,40.74343776702881,12,651.9175,847.43,2023-04,40.671310920426336
2023-04-29,41.54987994107333,11,676.1509090909091,851.72,2023-04,40.65920609333814
2023-04-30,42.22450152310458,11,656.64,817.54,2023-04,40.962462558581194
2023-05-01,42.001369129527696,11,651.3736363636364,800.67,2023-05,40.77476038458027
2023-05-02,42.27888069152832,10,644.2729999999999,832.4,2023-05,41.293329890362635
2023-05-03,42.37487538655599,12,633.285,808.02,2023-05,41.79449494184353
2023-05-04,42.54645983378092,12,648.0400000000001,803.69,2023-05,41.959914896085664
2023-05-05,42.06813621520996,12,632.7508333333334,834.66,2023-05,42.14915753154012
2023-05-06,42.835984230041504,12,670.1658333333334,847.24,2023-05,42.33288671567842
2023-05-07,42.421424865722656,11,666.3336363636364,826.69,2023-05,42.361018621766725
2023-05-08,41.851627031962074,12,641.775,823.08,2023-05,42.33962689354306
2023-05-09,40.79985443751017,12,620.7333333333333,811.57,2023-05,42.128337428683324
2023-05-10,41.87558087435636,11,650.959090909091,809.15,2023-05,42.05700964122623
2023-05-11,40.09077755610148,12,608.4125,815.82,2023-05,41.70619788727203
2023-05-12,41.8181117664684,11,648.3263636363637,809.43,2023-05,41.670480108880376
2023-05-13,40.44479990005493,12,628.8075,817.38,2023-05,41.32888234745372
2023-05-14,41.615719535134055,11,655.5145454545454,803.74,2023-05,41.21378158594107
2023-05-15,42.428735906427555,11,668.4,817.76,2023-05,41.296225710864704
2023-05-16,40.62893803914388,12,514.1691666666667,792.32,2023-05,41.271809082526666
2023-05-17,39.88318697611491,12,553.8416666666667,825.36,2023-05,40.987181382777884
2023-05-18,39.721856117248535,12,531.4458333333333,817.82,2023-05,40.93447832008461
2023-05-19,39.820362408955894,12,543.7258333333333,817.66,2023-05,40.64908555472568
2023-05-20,34.16223851839701,12,394.2966666666667,771.43,2023-05,39.7515767859174
2023-05-21,31.54338013042103,11,196.67,508.15,2023-05,38.31267115667269
2023-05-22,40.65438404083252,10,598.469,857.21,2023-05,38.05919231873054
2023-05-23,36.791848262151085,12,412.4641666666667,791.2,2023-05,37.511036636303
2023-05-24,37.650914669036865,12,430.105,812.42,2023-05,37.192140592434704
2023-05-25,38.14060274759928,12,460.18249999999995,848.1,2023-05,36.96624725391338
2023-05-26,40.77666409810384,12,602.1625,808.97,2023-05,37.10286178093452
2023-05-27,40.889471689860024,12,600.9791666666666,814.9,2023-05,38.06389509114352
2023-05-28,40.050401051839195,12,551.6383333333333,829.19,2023-05,39.27918379420326
2023-05-29,41.207896868387856,12,604.3016666666666,809.46,2023-05,39.35825705528259
2023-05-30,41.801449515602805,11,654.4645454545454,826.6,2023-05,40.07391437720427
2023-05-31,41.93874220414595,11,666.8045454545455,878.45,2023-05,40.686461167934134
2023-06-01,41.187131563822426,12,607.4875000000001,806.91,2023-06,41.12167957025173
2023-06-02,40.05173008258526,13,576.9030769230769,785.37,2023-06,41.01811756803478
2023-06-03,41.103089552659256,13,626.7592307692307,820.87,2023-06,41.04863440557754
2023-06-04,42.05846373240153,12,655.4683333333334,829.29,2023-06,41.33550050280072
2023-06-05,39.49656193072979,13,576.9346153846154,799.19,2023-06,41.09102408313529
2023-06-06,39.793890953063965,12,560.3591666666666,795.24,2023-06,40.8042300027726
2023-06-07,40.71189498901367,13,588.5861538461538,799.92,2023-06,40.628966114896556
2023-06-08,41.42980252779447,13,617.3853846153846,797.27,2023-06,40.66363339546399
2023-06-09,40.93004290262858,12,617.4133333333333,835.26,2023-06,40.78910665547018
2023-06-10,41.054067611694336,12,607.385,782.28,2023-06,40.78210352104662
2023-06-11,40.27237818791316,13,569.2392307692307,863.44,2023-06,40.52694844326256
2023-06-12,40.47468879006126,11,564.3827272727273,746.99,2023-06,40.66668085173849
2023-06-13,40.096052487691246,12,559.9475,810.88,2023-06,40.70984678525667
2023-06-14,41.15939643166282,11,613.9127272727272,779.5,2023-06,40.773775562777985
2023-06-15,41.47546259562174,12,609.1316666666667,775.49,2023-06,40.78029842961045
2023-06-16,40.832276026407875,12,588.4358333333333,775.37,2023-06,40.76633173300748
2023-06-17,40.003618240356445,13,579.5592307692307,790.81,2023-06,40.616267537102075
2023-06-18,42.41853618621826,12,666.3866666666667,800.53,2023-06,40.922861536859955
2023-06-19,39.45688159649189,13,549.5107692307693,805.64,2023-06,40.77746050920718
2023-06-20,41.396979649861656,12,619.8466666666667,794.19,2023-06,40.9633072466601
2023-06-21,41.3735564549764,12,630.39,795.08,2023-06,40.99390153570489
2023-06-22,40.73037815093994,12,593.4991666666666,793.95,2023-06,40.88746090075035
2023-06-23,41.30696964263916,12,608.9566666666667,785.77,2023-06,40.95527427449768
2023-06-24,39.54020245869955,12,572.1566666666666,795.75,2023-06,40.889072019975266
2023-06-25,40.74538644154867,12,596.5383333333333,794.62,2023-06,40.650050627879615
2023-06-26,40.394265492757164,12,566.5525,788.42,2023-06,40.78396261306036
2023-06-27,39.61510690053304,12,542.7624999999999,788.32,2023-06,40.529409363156276
2023-06-28,38.94780651728312,12,520.4258333333333,746.91,2023-06,40.182873657771516
2023-06-29,39.07635370890299,12,516.585,759.72,2023-06,39.94658445176624
2023-06-30,40.04388566450639,11,558.0309090909091,808.17,2023-06,39.76614388346156
2023-07-01,40.223934173583984,12,554.1225000000001,732.16,2023-07,39.86381984273077
2023-07-02,40.18589846293131,12,531.445,703.26,2023-07,39.78389298864257
2023-07-03,39.91499343285194,13,519.9892307692307,715.06,2023-07,39.715425551513256
2023-07-04,38.96178309122721,12,503.5758333333333,728.15,2023-07,39.622093578755276
2023-07-05,39.150050735473634,10,517.038,708.55,2023-07,39.65098560992535
2023-07-06,38.79391622543335,12,506.66166666666663,742.3,2023-07,39.61063739800112
2023-07-07,35.56177997589111,12,400.08666666666664,686.15,2023-07,38.97033658534179
2023-07-08,36.81613842646281,12,449.715,688.13,2023-07,38.483508621467344
2023-07-09,38.232356230417885,12,492.2341666666667,706.38,2023-07,38.20443115967971
2023-07-10,38.812716007232666,12,505.5991666666667,712.39,2023-07,38.04696295601981
2023-07-11,36.14885377883911,12,408.6683333333333,652.32,2023-07,37.64511591139294
2023-07-12,38.51167090733846,12,511.03333333333336,731.69,2023-07,37.55391879308791
2023-07-13,38.28721757368608,11,449.4336363636363,671.02,2023-07,37.48153327140973
2023-07-14,38.1053713018244,11,484.9681818181818,688.69,2023-07,37.844903460828775
2023-07-15,37.458599610762164,11,463.2863636363636,673.89,2023-07,37.93668363001439
2023-07-16,36.48580916722616,12,445.4166666666667,683.05,2023-07,37.68717690670129
2023-07-17,37.35199244817098,12,487.7625,700.03,2023-07,37.47850211254962
2023-07-18,38.61688741048177,12,501.4941666666667,715.2,2023-07,37.83107834564144
2023-07-19,37.54257218043009,12,503.945,744.46,2023-07,37.69263567036881
2023-07-20,38.43395163796165,11,522.5418181818181,742.59,2023-07,37.71359767955103
2023-07-21,38.46149756691673,11,489.9336363636364,683.85,2023-07,37.7644728602785
2023-07-22,36.87378189780495,11,407.1827272727273,615.58,2023-07,37.680927472713186
2023-07-23,38.15998008034446,11,477.3872727272728,698.88,2023-07,37.920094746015806
2023-07-24,35.00504946708679,12,396.5125,700.05,2023-07,37.584817177289494
2023-07-25,30.94817805290222,12,326.09583333333336,673.0,2023-07,36.489287269063844
2023-07-26,35.58635584513346,12,372.52416666666664,689.25,2023-07,36.20982779259289
2023-07-27,36.922297636667885,12,456.04833333333335,682.44,2023-07,35.993877220979506
2023-07-28,30.02515185963024,11,181.1709090909091,407.29,2023-07,34.78868497708143
2023-07-29,34.568630615870156,12,407.65166666666664,676.83,2023-07,34.45937765109075
2023-07-30,38.459542433420815,12,499.96999999999997,725.43,2023-07,34.502172272958795
2023-07-31,37.58692614237467,12,503.9041666666667,739.81,2023-07,34.87101179799992
2023-08-01,39.109490076700844,12,563.7383333333333,767.32,2023-08,36.03691351568544
2023-08-02,39.66664725083571,13,574.9623076923077,777.73,2023-08,36.61981228792861
2023-08-03,39.192474365234375,13,549.7746153846153,768.99,2023-08,36.944123249152405
2023-08-04,37.72094567616781,12,524.8816666666667,762.25,2023-08,38.04352236580063
2023-08-05,38.52532768249512,12,486.28,695.99,2023-08,38.608764803889905
2023-08-06,38.24633502960205,12,477.8566666666666,695.35,2023-08,38.578306603344366
2023-08-07,38.98749176661173,12,481.9275,703.82,2023-08,38.77838740680681
2023-08-08,39.55354976654053,12,568.4108333333334,747.2,2023-08,38.841824505355326
2023-08-09,39.4932435353597,12,554.8441666666666,728.96,2023-08,38.81705254600161
2023-08-10,39.620809396107994,12,535.4333333333333,734.5,2023-08,38.87824326469785
2023-08-11,39.83339032259855,11,516.5536363636364,704.7,2023-08,39.18002107133081
2023-08-12,39.19456132253011,12,496.74333333333334,721.32,2023-08,39.275625877050096
2023-08-13,40.114404360453285,12,533.825,719.83,2023-08,39.54249292431456
2023-08-14,40.219751040140785,12,546.945,707.19,2023-08,39.71852996339014
2023-08-15,39.56192294034091,11,504.8627272727272,730.14,2023-08,39.7197261310759
2023-08-16,34.941201051076256,12,413.08,688.02,2023-08,39.069434347606844
2023-08-17,40.005248069763184,12,489.5366666666667,689.59,2023-08,39.12435415812901
2023-08-18,40.73028898239136,12,526.2991666666667,714.78,2023-08,39.252482538099414
2023-08-19,40.17896238962809,12,528.965,718.54,2023-08,39.39311126197055
2023-08-20,40.09250179926554,12,523.9725,709.64,2023-08,39.38998232465802
2023-08-21,38.605209827423096,12,501.94166666666666,711.37,2023-08,39.15933357998406
2023-08-22,34.72353553771973,12,406.87833333333333,701.4,2023-08,38.46813537960961
2023-08-23,40.41883118947347,12,554.5066666666667,735.01,2023-08,39.25065397080921
2023-08-24,38.19072564442953,12,524.8766666666667,777.98,2023-08,38.99143648147583
2023-08-25,38.69261678059896,12,519.495,745.13,2023-08,38.70034045264835
2023-08-26,38.18284034729004,12,495.99666666666667,752.18,2023-08,38.41518016088576
2023-08-27,36.88972234725952,12,477.7716666666667,728.81,2023-08,37.95764023917062
2023-08-28,37.80797370274862,12,507.5425,742.9,2023-08,37.84374936421712
2023-08-29,38.672553380330406,12,526.1750000000001,735.71,2023-08,38.40789477030437
2023-08-30,39.06772629419962,12,535.7325,728.53,2023-08,38.21487978526524
2023-08-31,38.516093254089355,12,498.55916666666667,726.55,2023-08,38.261360872359504
2023-09-01,38.01068242390951,12,512.2308333333334,802.47,2023-09,38.16394167854673
2023-09-02,40.04777065912882,12,582.9691666666666,784.04,2023-09,38.43036029452369
2023-09-03,38.79535714785258,12,514.0825,756.22,2023-09,38.70259383746556
2023-09-04,39.41169230143229,12,513.8675,745.03,2023-09,38.931696494420365
2023-09-05,38.83825206756592,12,473.075,762.07,2023-09,38.95536773545401
2023-09-06,39.87033063715155,11,584.9318181818181,770.93,2023-09,39.07002549873285
2023-09-07,39.11088267239657,11,558.4772727272727,757.91,2023-09,39.15499541563389
2023-09-08,39.35705271634188,11,570.7099999999999,757.01,2023-09,39.34733402883852
2023-09-09,39.96062486821955,11,629.6009090909091,793.38,2023-09,39.33488463013719
2023-09-10,39.53181674263694,11,610.7054545454546,808.77,2023-09,39.440093143677814
2023-09-11,39.38322275335138,11,571.9436363636364,788.31,2023-09,39.43602606538054
2023-09-12,38.883611245588824,11,555.6627272727272,753.75,2023-09,39.44250594795524
2023-09-13,39.08133671500466,11,566.8881818181818,740.79,2023-09,39.32979253050569
2023-09-14,37.78547911210494,11,532.0,777.75,2023-09,39.14044916474974
2023-09-15,40.48716716766357,10,617.833,815.94,2023-09,39.30189408636712
2023-09-16,41.10172102186415,9,582.901111111111,774.05,2023-09,39.46490782260207
2023-09-17,40.59120771620009,9,549.7466666666667,778.16,2023-09,39.61624939025394
2023-09-18,41.32640914916992,10,586.0440000000001,788.78,2023-09,39.89384744679945
2023-09-19,39.96792125701904,10,528.0989999999999,755.27,2023-09,40.04874887700377
2023-09-20,39.032905960083006,10,504.63100000000003,686.98,2023-09,40.04183019772925
2023-09-21,40.28322262234158,9,513.8877777777777,656.86,2023-09,40.39865069919163
2023-09-22,40.55849418640137,10,578.697,766.37,2023-09,40.408840273297024
2023-09-23,41.848823971218536,9,649.7144444444444,782.31,2023-09,40.51556926606194
2023-09-24,41.42541313171387,10,591.316,741.94,2023-09,40.63474146827819
2023-09-25,40.81452407836914,10,573.986,754.05,2023-09,40.56161502959236
2023-09-26,41.76620788574219,10,628.457,775.77,2023-09,40.81851311940996
2023-09-27,41.181037521362306,10,575.383,732.75,2023-09,41.12538905673557
2023-09-28,41.641766738891604,10,595.947,729.44,2023-09,41.31946678767128
2023-09-29,42.39698257446289,10,654.737,789.48,2023-09,41.582107985965784
2023-09-30,41.75865097045899,10,616.488,792.62,2023-09,41.569226128714426
2023-10-01,42.81170768737793,10,714.313,939.89,2023-10,41.767268208095004
2023-10-02,42.547928203235976,11,657.9981818181818,832.92,2023-10,42.01489736879027
2023-10-03,42.51549034118652,10,682.487,847.4,2023-10,42.12193771956803
2023-10-04,42.2747615814209,10,683.3439999999999,838.23,2023-10,42.278184013862116
2023-10-05,42.29336293538412,9,694.2555555555556,838.84,2023-10,42.37126918478962
2023-10-06,41.60119552612305,10,632.54,819.85,2023-10,42.257585320741065
2023-10-07,41.89712371826172,10,639.967,807.97,2023-10,42.27736714185574
2023-10-08,42.16507797241211,10,655.557,799.85,2023-10,42.1849914682892
2023-10-09,41.90412712097168,10,639.073,804.27,2023-10,42.09301988510858
2023-10-10,42.51158481174045,9,679.8122222222222,841.49,2023-10,42.092461952330574
2023-10-11,42.459846878051756,10,678.4100000000001,815.79,2023-10,42.11890270899213
2023-10-12,42.34161720275879,10,667.491,810.53,2023-10,42.12579617575994
2023-10-13,41.938912582397464,10,644.804,806.81,2023-10,42.174041469513426
2023-10-14,42.05863456726074,10,625.871,789.41,2023-10,42.19711444794185
2023-10-15,42.47193031311035,10,651.423,827.05,2023-10,42.24095049661303
2023-10-16,42.31839790344238,10,635.318,797.14,2023-10,42.30013203696599
2023-10-17,41.55507965087891,10,606.644,784.44,2023-10,42.163488442557195
2023-10-18,42.02021685513583,11,600.3763636363636,758.83,2023-10,42.100684153569205
2023-10-19,41.8732608795166,10,593.271,733.47,2023-10,42.03377610739175
2023-10-20,40.33001480102539,10,599.655,817.16,2023-10,41.80393356719575
2023-10-21,40.99617385864258,10,598.488,796.44,2023-10,41.65215346596458
2023-10-22,40.65651950836182,10,589.001,781.49,2023-10,41.392809065286215
2023-10-23,40.84185929731889,11,576.5381818181818,796.46,2023-10,41.181874978697145
2023-10-24,41.88078575134277,10,600.1,830.25,2023-10,41.22840442162055
2023-10-25,39.35491689046224,9,423.9811111111111,742.57,2023-10,40.84764728381004
2023-10-26,24.515582656860353,5,70.454,177.62,2023-10,38.367978966287716
2023-10-27,40.548087692260744,10,461.35,724.09,2023-10,38.3991322364642
2023-10-28,42.08890236748589,9,572.1477777777777,834.51,2023-10,38.5552363091561
2023-10-29,37.33597297668457,10,460.492,762.93,2023-10,38.0808725189165
2023-10-30,40.82978420257568,10,554.374,751.36,2023-10,38.07914750538175
2023-10-31,41.31354179382324,10,542.648,753.39,2023-10,37.99811265430753
2023-11-01,40.97784690856933,10,552.8190000000001,785.84,2023-11,38.2299597997514
2023-11-02,42.12214279174805,11,600.0172727272728,781.64,2023-11,40.745182676163935
2023-11-03,40.42208925882975,9,494.3322222222222,734.44,2023-11,40.727182899959494
2023-11-04,39.4428561817516,11,391.0,627.8,2023-11,40.34917630199747
2023-11-05,41.577713359485976,11,561.3109090909091,781.95,2023-11,40.95513921382623
2023-11-06,41.62833300503817,11,582.1127272727273,797.77,2023-11,41.069217614178015
2023-11-07,42.147808421741836,11,589.540909090909,795.68,2023-11,41.18839856102353
2023-11-08,41.21805992126465,10,605.731,811.65,2023-11,41.22271470569429
2023-11-09,42.05611593073065,11,592.4009090909091,811.24,2023-11,41.21328229697752
2023-11-10,42.44838437167081,11,610.8345454545455,805.12,2023-11,41.502753027383385
2023-11-11,41.9166786887429,11,562.4181818181819,848.22,2023-11,41.85615624266785
2023-11-12,41.51017691872337,11,503.12727272727267,692.56,2023-11,41.846508179701765
2023-11-13,42.29019432067871,10,566.793,716.53,2023-11,41.94105979622184
2023-11-14,40.60261611938476,10,493.37299999999993,750.14,2023-11,41.72031803874226
2023-11-15,35.4084436416626,10,307.915,623.74,2023-11,40.89037285594197
2023-11-16,43.50958824157715,8,683.5775,779.51,2023-11,41.09801175749147
2023-11-17,35.090728759765625,9,333.80888888888893,643.59,2023-11,40.04691809864788
2023-11-18,37.6948486328125,10,437.65600000000006,769.03,2023-11,39.443799519229245
2023-11-19,41.23841552734375,10,578.7819999999999,773.75,2023-11,39.40497646331787
2023-11-20,43.12025578816732,9,622.5233333333333,776.36,2023-11,39.5235566729591
2023-11-21,38.59083493550619,9,577.8111111111111,833.77,2023-11,39.236159360976444
2023-11-22,40.75781421661377,10,605.069,828.24,2023-11,40.00035515739804
2023-11-23,42.71165805392795,9,586.3222222222222,750.47,2023-11,39.88636513059101
2023-11-24,40.93969230651855,10,568.692,786.97,2023-11,40.72193135155572
2023-11-25,38.35282346937392,9,485.38444444444445,738.19,2023-11,40.81592775677878
2023-11-26,40.70346705118815,9,586.0711111111111,784.31,2023-11,40.7395065458994
2023-11-27,43.66177537706163,9,662.7222222222222,770.21,2023-11,40.816866487170024
